feature,dtype,count,non_null_count,missing_count,missing_pct,unique_count,mean,std,min,q25,median,q75,max,skew,abs_pearson_to_target
Age,int64,90916.0,90916,0,0.0,75,39.41240265739804,15.124315875500159,7.0,27.0,40.0,51.0,85.0,-0.0011,0.1351
Arrival Delay in Minutes,float64,90623.0,90623,293,0.3223,434,15.173057612305927,38.557683579335546,0.0,0.0,0.0,13.0,1584.0,6.7142,0.0582
Baggage handling,int64,90916.0,90916,0,0.0,5,3.633562849223459,1.1796695105975368,1.0,3.0,4.0,5.0,5.0,-0.6782,0.2523
Checkin service,int64,90916.0,90916,0,0.0,5,3.3074596330678867,1.2646961789216837,1.0,3.0,3.0,4.0,5.0,-0.3696,0.2376
Cleanliness,int64,90916.0,90916,0,0.0,6,3.288453077566105,1.3129148696671094,0.0,2.0,3.0,4.0,5.0,-0.3016,0.3068
Departure Delay in Minutes,int64,90916.0,90916,0,0.0,438,14.807492630560077,38.211087820501355,0.0,0.0,0.0,12.0,1592.0,6.8519,0.0504
Departure/Arrival time convenient,int64,90916.0,90916,0,0.0,6,3.060715385630692,1.5245118211825195,0.0,2.0,3.0,4.0,5.0,-0.3339,0.0512
Ease of Online booking,int64,90916.0,90916,0,0.0,6,2.7593492894540015,1.4013679691829954,0.0,2.0,3.0,4.0,5.0,-0.0175,0.1715
Flight Distance,int64,90916.0,90916,0,0.0,3767,1191.7905649170664,998.3127749151595,31.0,414.0,845.0,1744.0,4983.0,1.1046,0.2997
Food and drink,int64,90916.0,90916,0,0.0,6,3.2041444850191385,1.3302875004019634,0.0,2.0,3.0,4.0,5.0,-0.1543,0.2106
Gate location,int64,90916.0,90916,0,0.0,6,2.9825553257952397,1.2774159830538474,0.0,2.0,3.0,4.0,5.0,-0.0619,0.0028
Inflight entertainment,int64,90916.0,90916,0,0.0,6,3.3597606581899777,1.3343323062628323,0.0,2.0,4.0,4.0,5.0,-0.3673,0.3995
Inflight service,int64,90916.0,90916,0,0.0,6,3.643528091865018,1.1762283761516399,0.0,3.0,4.0,5.0,5.0,-0.6908,0.2487
Inflight wifi service,int64,90916.0,90916,0,0.0,6,2.7303774913106604,1.329165280793335,0.0,2.0,3.0,4.0,5.0,0.042,0.2863
Leg room service,int64,90916.0,90916,0,0.0,6,3.354283074486339,1.3162877132335982,0.0,2.0,4.0,4.0,5.0,-0.3508,0.3153
On-board service,int64,90916.0,90916,0,0.0,6,3.3845417748251134,1.2876931331368824,0.0,2.0,4.0,4.0,5.0,-0.4215,0.3229
Online boarding,int64,90916.0,90916,0,0.0,6,3.251924853711118,1.3498913294141723,0.0,2.0,3.0,4.0,5.0,-0.4561,0.5011
Seat comfort,int64,90916.0,90916,0,0.0,5,3.441561441330459,1.3186836789318621,1.0,2.0,4.0,5.0,5.0,-0.486,0.3492
Unnamed: 0,int64,90916.0,90916,0,0.0,78195,44192.73838488275,31232.401127008707,0.0,16197.0,39103.5,71451.25,103903.0,0.3278,0.0073
id,int64,90916.0,90916,0,0.0,90916,65013.678868406,37499.85881088687,3.0,32520.75,65059.5,97489.25,129879.0,-0.0044,0.014
satisfaction,int64,90916.0,90916,0,0.0,2,0.4344669805094813,0.49568954592615533,0.0,0.0,0.0,1.0,1.0,0.2644,
