row_id,split
27875,train
38437,train
120302,train
46094,train
56431,train
35820,train
40311,train
27614,train
84667,train
99225,train
48361,train
38417,train
16524,train
101303,train
119387,train
102670,train
31861,train
72441,train
53760,train
73861,train
105536,train
23996,train
96687,train
79064,train
79809,train
88126,train
99159,train
23352,train
105071,train
8151,train
71387,train
58004,train
128984,train
25102,train
71119,train
123197,train
103134,train
62691,train
50565,train
103930,train
79060,train
105806,train
102027,train
1536,train
116226,train
18750,train
5839,train
43955,train
66391,train
73983,train
76376,train
83726,train
120400,train
66168,train
115536,train
65859,train
113197,train
64244,train
87141,train
13687,train
114564,train
106980,train
28902,train
3491,train
43899,train
39018,train
119358,train
69930,train
102898,train
113640,train
32014,train
19637,train
43589,train
54368,train
60454,train
127865,train
55230,train
41207,train
43961,train
81408,train
11474,train
102549,train
94196,train
51651,train
53332,train
79084,train
49836,train
34019,train
62172,train
60383,train
119804,train
64930,train
40638,train
41638,train
47006,train
60290,train
44093,train
106938,train
118172,train
8337,train
5948,train
64758,train
47839,train
36465,train
6754,train
7100,train
92749,train
17612,train
52447,train
38973,train
38843,train
116308,train
116099,train
95494,train
119309,train
16353,train
123956,train
54078,train
9139,train
55078,train
27828,train
25862,train
126292,train
24707,train
76594,train
3004,train
32868,train
1111,train
40659,train
71372,train
96779,train
60379,train
77419,train
116581,train
43876,train
3767,train
27444,train
87480,train
36973,train
110444,train
129690,train
62680,train
126847,train
24288,train
23224,train
88366,train
29856,train
51923,train
124809,train
121845,train
72481,train
127133,train
10855,train
22263,train
83266,train
96702,train
12553,train
1561,train
29185,train
15049,train
46135,train
50674,train
48175,train
3451,train
62265,train
36701,train
126712,train
123720,train
14607,train
8893,train
111087,train
36911,train
22093,train
66513,train
128334,train
76717,train
39786,train
93670,train
23413,train
98577,train
79756,train
119971,train
30144,train
121966,train
71694,train
115124,train
123875,train
88802,train
102815,train
66978,train
93404,train
45853,train
5370,train
27867,train
87267,train
55563,train
51142,train
48492,train
117899,train
74185,train
118984,train
37906,train
107436,train
22877,train
18654,train
46886,train
81477,train
117595,train
75041,train
70531,train
48739,train
122485,train
41744,train
117856,train
56648,train
95826,train
20519,train
7085,train
11021,train
11044,train
116991,train
31739,train
50499,train
65697,train
40911,train
128860,train
92529,train
23492,train
53258,train
86973,train
105589,train
44206,train
108183,train
119086,train
28368,train
62572,train
78681,train
81145,train
37501,train
54470,train
22052,train
105952,train
119478,train
3601,train
122157,train
85996,train
40387,train
36150,train
64370,train
84526,train
77380,train
91729,train
46185,train
101574,train
62003,train
108456,train
